,created_time,id,message
273,2015-04-02T16:54:00+0000,10218552285255958_10205980999981683,Chilaquiles toluqueños al desayuno
274,2015-03-08T03:28:22+0000,10218552285255958_10205791628247508,https://www.youtube.com/watch?v=tLetf-h4Y-w
275,2015-03-06T13:47:12+0000,10218552285255958_10205778847888007,
276,2015-02-13T18:33:39+0000,10218552285255958_10205620959580898,Un almuerzo liviano
277,2015-02-12T20:16:54+0000,10218552285255958_10205615096034313,
278,2015-02-07T18:41:39+0000,10218552285255958_10205579513424770,Aquí donde no hay más sur
279,2015-02-03T17:37:34+0000,10218552285255958_10205553440972975,Ahora sí me siento en Chile...
280,2015-02-02T03:39:18+0000,10218552285255958_10205543027992657,
281,2015-01-19T05:24:03+0000,10218552285255958_10205446269213748,https://www.youtube.com/watch?v=JDglMK9sgIQ
282,2015-01-17T15:26:06+0000,10218552285255958_10205435558425985,"Creo que mi ""electricista"" no conoce la ley de ohm ."
283,2015-01-09T02:54:03+0000,10218552285255958_10205369696739484,No volveré ¬¬
284,2015-01-07T16:59:33+0000,10218552285255958_10205331167736283,No es buena señal cuando el plomero te pregunta si tienes herramientas.
285,2015-01-06T17:53:06+0000,10218552285255958_10205316057798544,Coma un pirulin
286,2015-01-01T08:31:46+0000,10218552285255958_10205251698829610,Típico : sales a un bar en la condesa y te agarran el culo
287,2014-12-24T21:50:21+0000,10218552285255958_10205180734815554,Estilo chileno para resolver incidentes de tránsito.
288,2014-12-24T16:06:03+0000,10218552285255958_10205178517080112,http://www.theclinic.cl/wp-content/uploads/2011/12/PASCUERO.jpg
289,2014-12-20T05:51:08+0000,10218552285255958_10205139383301792,Aquí te conocí y aquí te despido... <3
290,2014-12-17T00:21:38+0000,10218552285255958_10205119946975896,Cuando el jefe paga la comida debes pedir el plato más caro del menú
291,2014-12-11T22:05:45+0000,10218552285255958_10205083717710187,#odiolaputanavidad #arbol #pepsi #mevoyatomarhastaelaguadelasflores
292,2014-12-09T15:13:03+0000,10218552285255958_10205068225522892,Debiese haber alguna ley que prohíba los organilleros.
293,2014-11-22T03:28:30+0000,10218552285255958_10204948647853525,Un clásico que hay que recordar de vez en cuando....
